id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
rBsGN3DCBlKdZDB2,ENG 204 syllabus_FA 2021,single reasoning,I won't be in class on 11/16. What topic will I miss?,"You will likely miss the seminar about Franny Choi's ""Soft Science"" on 11/16. ",,,,,,"On this date, the class will be discussing Franny Choi's Soft Science, so this is the topic that the student will likely miss.",,,,
ytsm2Z5n1J7En3WT,cs466_sp21_info_redacted,yes/no,Does this course require math?,Yes," It is a theory course
with a significant mathematical component.",,,,,,,,,
m8R8C9ykieVkKLyW,cs466_sp21_info_redacted,multi reasoning,What is the final topic covered before the Midterm Exam in the course?,Hash Fns will be the last topic covered prior to the midterm exam.,,,,,,Mar. 11: Hash Fns,"Mar. 16: MIDTERM, HW3 in",,,
4Dpygp03rGLdU0Fu,cs466_sp21_info_redacted,multi reasoning,What do we need to do on our homework to make sure we get the points? ,"You can work with others, but you must make sure your solutions are shown and are readable. ",,,,,,You can work with other folks,You must do your final solution. ,You must show your work. ,it must be able to be read you will get a 0 if not readable. ,
5eJAB0Rhp7kK5LbA,Syllabus-549,multi factual,Are there any prerequisites for this course?,There are two prerequisites for this course: CE-ENGIN 331 and MATH 331 (or equivalent with permission of the instructor.),CE-ENGIN 331,MATH 331,equivalent with permission of instructor,,,,,,,
oeSIj0ygmqSjLGOk,Syllabus-549,yes/no,Are there any required texts for this course?,No,Text: None required.,,,,,,,,,
zN5PHlqmqM9pVld6,Syllabus-549,single factual,When are the office hours for this course?,Tuesday and Thursday 1-2pm at 234A Marston Hall,"Office Hours:
Tuesday and Thursday 1pm-2pm (234A Marston Hall) ",,,,,,,,,
xVHl0CBJaRA2FfWz,MUSIC-ED 500KU Syllabus S23,summarization,Are there any essential characteristics for evaluation and assessment?,"The candidate will participate in the ongoing assessment, teaching, working as the music education coordinator, and instructing in student teacher seminars, along with the supervising professional, program supervisor, and coordinator of student services. The final grade will be computed using the whole body of information gathered from the aforementioned sources. Once all degree program and license requirements have been satisfactorily satisfied, the educator licensing officer recommends student teachers for licensing.","The candidate, the supervising professional, the program supervisor, and the coordinator of student services will all contribute to the continuing assessment, teaching, serving as the coordinator of music education, and instructing in student teacher seminars.",The entire body of data acquired from the sources mentioned above will be used to determine the final grade.,The Educator licensing Officer recommends student teachers for licensing once all degree program and license criteria have been satisfactorily met.,,,,,,,
Zh2rmcOgWtwzWyQF,MUSIC-ED 500KU Syllabus S23,multi factual,What sort of seminar assignments will there be?,"Seminar assignments will consist of: 1) Weekly assignments such as readings, reflections, Measure of Student Learning evidence, etc., 2) Midpoint and final reports for each placement, 3) Your professional resume, and 4) A sample cover letter.","o Weekly assignments such as readings,
reflections, Measure of Student Learning
evidence, etc.",o Midpoint and final reports for each placement,o Your professional resume,o A sample cover letter,,,,,,
lheWIYayGDSVsSU8,MUSIC-ED 500KU Syllabus S23,multi reasoning,I submitted a student teacher seminar assignment late by a day. Will I still receive full marks for that assignment?,No. You will not receive full marks for that assignment. There will be at least a 25% deduction to your grade.,,,,,,An assignment that is 15 minutes to 1 week late will receive a maximum of 75% credit.,A day is between the 15 minutes to a week time-frame associated with a maximum of 75% credit.,There will be a minimum of a 25% deduction.,,
